,guid,title,publisher,pubDate
65,https://abcnews.go.com/Live/video/abcnews-live-41463246,LIVE:  ABC News Live,ABCNews,"Wed, 15 Mar 2023 14:29:53 -0400"
18,https://dzone.com/articles/3321878,AWS IP Address Management,Developer Zone,"Thu, 16 Mar 2023 23:39:39 +0000"
19,https://dzone.com/articles/3322033,How To Migrate From Oracle Database to YugabyteDB With YugabyteDB Voyager,Developer Zone,"Thu, 16 Mar 2023 23:03:29 +0000"
20,https://dzone.com/articles/3322162,Metrics Part 2: The DORA Keys,Developer Zone,"Thu, 16 Mar 2023 22:50:51 +0000"
21,https://dzone.com/articles/3321872,"PySpark Data Pipeline To Cleanse, Transform, Partition, and Load Data Into Redshift Database Table",Developer Zone,"Thu, 16 Mar 2023 22:22:16 +0000"
22,https://dzone.com/articles/3322062,How To Execute Cypress E2E Test Cases Using CI/CD GitLab,Developer Zone,"Thu, 16 Mar 2023 21:50:44 +0000"
23,https://dzone.com/articles/3323099,Use After Free: An IoT Security Issue Modern Workplaces Encounter Unwittingly,Developer Zone,"Thu, 16 Mar 2023 21:45:52 +0000"
24,https://dzone.com/articles/3323161,Real-Time Analytics for IoT,Developer Zone,"Thu, 16 Mar 2023 21:41:00 +0000"
25,https://dzone.com/articles/3323898,From Data Stack to Data Stuck: The Risks of Not Asking the Right Data Questions,Developer Zone,"Thu, 16 Mar 2023 20:54:31 +0000"
71,https://abcnews.go.com/International/video/giant-pandas-moscow-zoo-celebrate-panda-day-97923542,WATCH:  Giant pandas at Moscow Zoo celebrate Panda Day,ABCNews,"Thu, 16 Mar 2023 20:13:44 -0400"
26,https://dzone.com/articles/3323065,Multi-Cloud Integration,Developer Zone,"Thu, 16 Mar 2023 19:16:07 +0000"
27,https://dzone.com/articles/3323212,Sanity Testing Tutorial: A Comprehensive Guide,Developer Zone,"Thu, 16 Mar 2023 18:48:09 +0000"
28,https://dzone.com/articles/3322945,The Stoic Scrum Master,Developer Zone,"Thu, 16 Mar 2023 18:30:55 +0000"
74,https://abcnews.go.com/GMA/Culture/video/kobe-bryant-immortalized-hand-footprints-tcl-chinese-theatre-97912270,WATCH:  Kobe Bryant immortalized with hand and footprints at TCL Chinese Theatre in Hollywood,ABCNews,"Thu, 16 Mar 2023 17:52:32 -0400"
29,https://dzone.com/articles/3322960,Developing a Barcode Reader To Make Life Easier,Developer Zone,"Thu, 16 Mar 2023 17:38:00 +0000"
73,https://abcnews.go.com/GMA/Living/video/irish-band-plays-passengers-flight-dublin-new-york-97921051,WATCH:  Irish band plays for passengers on flight from Dublin to New York,ABCNews,"Thu, 16 Mar 2023 16:47:56 -0400"
75,https://abcnews.go.com/US/video/us-releases-footage-russian-fighters-clash-drone-97903219,WATCH:  US releases footage of Russian fighter's clash with drone,ABCNews,"Thu, 16 Mar 2023 11:12:15 -0400"
